"Iterations"	"Train Time (ms)"	"Test Time (ms)"	"Accuracy"	"True Positives"	"True Negatives"	"False Negatives"	"False Positives"
"5"	"14"	"0"	"0.344828"	"17"	"43"	"25"	"89"
"10"	"4"	"0"	"0.775862"	"75"	"60"	"8"	"31"
"20"	"80"	"5"	"0.390805"	"2"	"66"	"2"	"104"
"50"	"87"	"0"	"0.235632"	"5"	"36"	"32"	"101"
"100"	"211"	"0"	"0.775862"	"79"	"56"	"12"	"27"
"200"	"389"	"0"	"0.856322"	"89"	"60"	"8"	"17"
"500"	"421"	"10"	"0.931034"	"99"	"63"	"5"	"7"
"1000"	"1227"	"0"	"0.965517"	"103"	"65"	"3"	"3"
"2000"	"911"	"0"	"0.954023"	"102"	"64"	"4"	"4"
"3000"	"1374"	"0"	"0.925287"	"100"	"61"	"7"	"6"
"4000"	"3351"	"1"	"0.925287"	"101"	"60"	"8"	"5"
"5000"	"2636"	"0"	"0.942529"	"101"	"63"	"5"	"5"
"7000"	"4121"	"0"	"0.931034"	"99"	"63"	"5"	"7"
"10000"	"5549"	"0"	"0.942529"	"101"	"63"	"5"	"5"
"15000"	"7574"	"0"	"0.936782"	"99"	"64"	"4"	"7"
"20000"	"7052"	"0"	"0.954023"	"101"	"65"	"3"	"5"
