@relation 'spambase-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.7 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N 2 -X 10 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -K 10 -num-slots 1 -S 100'

@attribute -0.348word_freq_857-0.348word_freq_415-0.32word_freq_direct-0.317word_freq_technology-0.312word_freq_telnet... numeric
@attribute 0.272word_freq_your+0.252capital_run_length_longest+0.248word_freq_000+0.236char_freq_$+0.235word_freq_order... numeric
@attribute -0.445capital_run_length_longest-0.372capital_run_length_total-0.292char_freq_(-0.285capital_run_length_average+0.248word_freq_you... numeric
@attribute 0.403word_freq_original+0.394word_freq_1999+0.304word_freq_pm-0.295word_freq_font+0.246word_freq_cs... numeric
@attribute '0.534word_freq_meeting+0.332word_freq_will+0.31 word_freq_lab+0.27 word_freq_our-0.256word_freq_font...' numeric
@attribute 0.303word_freq_font+0.299word_freq_business+0.299char_freq_;-0.29word_freq_addresses+0.274word_freq_credit... numeric
@attribute -0.43word_freq_font-0.406char_freq_;+0.284capital_run_length_average-0.254word_freq_000-0.247word_freq_meeting... numeric
@attribute -0.323word_freq_edu-0.305word_freq_you-0.257word_freq_cs-0.239char_freq_!+0.237word_freq_internet... numeric
@attribute '0.368word_freq_edu+0.35 word_freq_cs-0.291word_freq_make+0.28 word_freq_our+0.258word_freq_remove...' numeric
@attribute 0.359word_freq_cs+0.353word_freq_edu-0.289word_freq_re-0.265word_freq_pm-0.262char_freq_!... numeric
@attribute -0.326word_freq_email-0.262word_freq_will-0.258word_freq_all+0.248word_freq_george-0.23word_freq_hpl... numeric
@attribute 0.355word_freq_money+0.305word_freq_free+0.262word_freq_make-0.257word_freq_re-0.24char_freq_!... numeric
@attribute 0.334word_freq_parts-0.314word_freq_address-0.27word_freq_mail+0.259word_freq_hp-0.254word_freq_will... numeric
@attribute -0.529word_freq_data-0.345char_freq_[+0.246word_freq_people+0.219word_freq_hp+0.198word_freq_hpl... numeric
@attribute 0.399word_freq_table-0.361word_freq_project+0.272word_freq_re+0.223word_freq_order-0.22word_freq_will... numeric
@attribute -0.428word_freq_address+0.373word_freq_george-0.307word_freq_mail-0.297word_freq_report+0.255word_freq_conference... numeric
@attribute -0.504word_freq_table+0.359char_freq_[-0.277word_freq_report-0.261word_freq_project+0.246char_freq_!... numeric
@attribute -0.453word_freq_3d-0.403word_freq_project-0.332word_freq_parts-0.243word_freq_re+0.225word_freq_free... numeric
@attribute 0.686word_freq_3d-0.428word_freq_parts+0.187word_freq_lab-0.167word_freq_people-0.167word_freq_address... numeric
@attribute -0.602word_freq_conference+0.532word_freq_project+0.258char_freq_#-0.17word_freq_3d+0.168word_freq_make... numeric
@attribute 0.447word_freq_address-0.388char_freq_#-0.295word_freq_conference-0.284word_freq_re-0.275word_freq_mail... numeric
@attribute '-0.43char_freq_#-0.327word_freq_address-0.256word_freq_over-0.247word_freq_conference+0.24 capital_run_length_average...' numeric
@attribute 0.407word_freq_conference+0.407char_freq_!+0.387word_freq_project+0.339word_freq_table+0.284word_freq_free... numeric
@attribute '0.326word_freq_mail+0.321char_freq_(+0.31 word_freq_internet-0.261char_freq_[+0.26 word_freq_free...' numeric
@attribute 0.404word_freq_people+0.357word_freq_money+0.298word_freq_email-0.294word_freq_report-0.253word_freq_000... numeric
@attribute -0.45word_freq_table-0.386word_freq_make+0.315word_freq_all+0.283word_freq_report-0.227word_freq_000... numeric
@attribute -0.335word_freq_email+0.323word_freq_over+0.269word_freq_mail-0.255word_freq_re-0.249word_freq_data... numeric
@attribute -0.412char_freq_#+0.306word_freq_free-0.261word_freq_data-0.254word_freq_pm-0.218word_freq_all... numeric
@attribute class {0,1}
@attribute cluster {cluster1,cluster2}

@data

0.73167,-0.043021,0.580599,-0.251116,-0.174817,-0.569698,-0.050588,-0.071787,0.415519,-0.809172,-1.200508,0.181877,-0.130318,-0.192555,0.52459,0.02407,-0.324665,-0.060902,-0.005688,-0.202842,0.560711,-0.280102,0.238026,-0.17286,0.134018,0.782013,-0.699658,0.151862,1,cluster1
1.184956,2.067625,-0.036031,0.430412,-0.327583,-0.826598,-0.49013,-0.621614,-0.883583,0.35137,0.020529,0.087005,-0.038034,0.460881,-0.406007,-0.716954,-0.006166,0.215009,-0.31096,-0.255442,-0.260791,0.18789,-0.329749,-0.120141,0.456357,0.363033,0.440198,-0.186004,1,cluster1
1.467435,5.023208,-3.277235,0.994957,0.641234,-2.784381,-1.84427,2.097591,1.982534,0.259445,-0.377529,0.333593,-1.213546,-0.460474,0.741003,0.585278,-0.548819,-0.558867,-0.092095,0.129002,-1.381672,0.282506,-0.307921,-0.032637,-0.357688,-0.09723,-1.71111,0.930041,1,cluster2
0.80526,0.427457,0.583043,-0.008241,-0.077455,0.547803,0.404856,0.45936,0.160836,0.260425,0.341028,-0.160887,-0.268693,0.29843,-0.136409,-0.686484,0.115244,0.041912,-0.144546,-0.354429,-0.473688,0.48462,-0.198413,0.436265,0.705402,0.26611,0.330787,0.187896,1,cluster1
0.806191,0.426701,0.585091,-0.008166,-0.077646,0.547694,0.403736,0.46107,0.160584,0.26196,0.340605,-0.160299,-0.26894,0.299188,-0.135111,-0.686731,0.115445,0.041373,-0.145313,-0.35405,-0.47441,0.48634,-0.197844,0.433694,0.70487,0.266489,0.330042,0.186862,1,cluster1
0.49262,-0.48951,0.373364,-0.443378,0.407751,0.671938,0.579316,1.342453,1.337345,0.345828,1.281746,-0.922154,0.349076,0.215678,-0.024741,-0.074383,-0.288481,-0.726305,0.317674,-0.267212,0.38627,-0.027427,-0.352305,1.41461,0.727424,0.12551,1.58496,0.548654,1,cluster1
1.025721,1.020638,1.737424,0.014956,0.87145,1.448537,0.024396,0.008219,0.090204,0.033352,-0.622572,0.707384,-0.562362,0.139056,-0.776665,-0.711555,-0.191749,0.475456,-0.725066,-0.375432,-1.332229,0.848728,-0.697425,0.547761,-0.660668,-0.106286,-0.424978,0.686496,1,cluster1
0.504395,-0.487483,0.41848,-0.432269,0.410951,0.687679,0.560302,1.373803,1.353209,0.361711,1.301671,-0.937753,0.357926,0.225361,-0.011941,-0.076574,-0.285894,-0.741444,0.316221,-0.267809,0.387975,-0.016243,-0.339504,1.419139,0.728848,0.135174,1.596932,0.546617,1,cluster1
1.265801,3.640849,-1.491548,0.119221,1.375369,3.1055,2.036784,1.275868,-0.465424,1.497368,0.41487,0.222278,-0.615625,-1.071227,1.288742,1.02294,0.10665,-0.219094,-0.901853,0.555081,-0.298436,-0.866612,-0.250409,-1.520059,-0.316218,0.954341,-1.342781,-0.58233,1,cluster2
0.841138,0.400467,-0.029865,-0.29594,-0.185975,-0.874246,-0.326066,-0.026017,0.170904,-0.071366,-0.178011,-0.3831,0.054923,-0.261171,-0.267024,0.100718,-0.429373,0.283333,-0.073089,-0.195317,0.402834,0.029614,-0.286181,-0.651183,-0.271276,0.311024,0.093748,-0.104875,1,cluster1
0.183055,1.702605,1.677627,0.619892,-0.606908,1.593611,0.24051,0.824825,0.379124,-0.242481,-0.804783,0.98686,-1.3428,0.319238,-0.17049,-1.493789,0.181825,0.653441,-0.298591,-0.733695,-1.728742,0.894172,-0.194013,0.398015,0.349277,-0.276441,-1.122126,0.320262,1,cluster2
0.639191,-0.464192,0.472501,-0.444884,-0.315684,-0.19461,0.142448,0.032341,0.268048,-0.183874,0.134533,-0.240258,0.092402,-0.176798,-0.209541,0.015668,-0.135996,0.212146,-0.040045,-0.123888,0.25043,0.014646,-0.262219,-0.402304,-0.214976,0.004515,0.095196,0.075906,1,cluster1
0.693729,-0.057556,0.576981,-0.23303,-0.2118,-0.50391,-0.017247,-0.032558,0.407343,-0.770798,-1.125205,0.300051,-0.184733,-0.147763,0.415539,-0.098572,-0.299535,-0.134296,0.080555,-0.21615,0.492297,-0.38291,0.164175,-0.10426,0.336866,0.600207,-0.75251,0.339384,1,cluster1
1.052856,1.032881,1.491406,0.27128,-0.08815,1.002556,0.110289,0.392853,0.049488,0.27506,0.197806,0.618379,-0.124661,1.057658,-1.22869,-1.708427,-0.297496,0.712079,-0.938824,-0.879845,-0.971046,1.309718,-0.855791,-0.588924,0.901599,-0.336774,-0.668553,-0.228114,1,cluster2
1.281213,1.661085,1.723951,-0.112927,-0.431554,0.309115,-0.055408,-0.607822,1.087823,-1.933751,-0.284047,0.991271,0.945956,0.314281,0.060822,1.160209,-0.038613,1.610398,-0.13735,0.409909,-0.310384,-0.152097,1.35499,1.88666,-1.823974,1.853589,1.919903,1.515905,1,cluster2
0.352049,0.280416,0.158046,0.650121,0.183955,1.143946,0.161943,-0.040621,0.675403,-1.068761,0.148417,0.889065,0.044663,0.84476,-0.243522,-0.372828,0.118502,0.140435,-0.400416,-0.050729,0.033759,0.223941,0.731243,0.136423,-0.1883,0.855712,0.934307,0.225237,1,cluster1
0.699741,-0.369175,0.893517,-0.450581,-0.076775,0.201904,0.33469,-0.195894,0.191328,-0.257275,0.076267,-0.023737,0.012718,-0.310318,0.14881,-0.166771,-0.129588,-0.253732,-0.204439,-0.099903,-0.029849,0.462697,-0.41942,-0.284437,-0.067831,-0.1614,0.339055,0.013787,1,cluster1
0.834228,0.530784,-0.511708,-0.544554,-0.544399,-0.768336,0.272363,-0.419168,0.074912,-0.381645,0.789112,-0.693686,0.214739,0.298566,-0.104876,0.354508,0.799934,0.158161,0.151377,0.254957,0.629205,0.297177,0.933449,0.112824,-0.834544,-0.685699,-0.54238,-0.387599,1,cluster1
0.806895,0.404966,0.841718,0.012527,-0.19358,-0.799294,-0.334571,-0.415304,0.459098,-0.521815,0.248606,-0.380709,0.606601,0.35425,-0.553821,-0.724823,-0.623434,-0.073737,-0.615825,-0.63041,0.501821,0.704841,-0.378911,-0.764398,1.409582,0.622389,0.061492,-0.634134,1,cluster1
-0.407241,4.037056,0.19416,1.191489,-0.374211,-2.58933,-2.008481,1.554693,2.397528,-0.873289,-1.149497,1.81133,-0.675793,-0.521199,0.574435,0.237991,-0.971332,-1.270459,0.2182,-0.210231,0.014152,-0.71941,-0.060808,-0.032871,1.883659,0.061755,-1.448947,1.303698,1,cluster2
0.0089,-1.225542,-0.700585,-0.698263,-0.273635,-0.390005,0.831228,-0.188429,0.183718,-0.342376,0.254618,-0.189851,-0.014975,-0.23746,-0.460188,0.119508,-0.054186,0.187667,0.3112,-0.09005,0.422785,-0.576735,-0.329079,0.867092,0.173844,-0.147355,0.294508,0.334935,1,cluster1
0.892619,1.06137,-1.04028,-0.596675,0.261162,0.122615,0.397995,0.156963,-0.384584,0.594588,0.037094,0.225755,0.156816,-0.383649,0.290344,-0.256826,-0.167356,-0.202207,-0.235715,-0.275741,-0.240649,0.045602,-0.333682,-0.508616,-0.059739,0.263509,-0.479082,0.436085,1,cluster1
0.500458,-0.449399,0.345647,-1.558282,0.264908,0.782107,-0.338406,-0.403716,1.691958,-1.565302,0.561306,0.991292,1.134539,0.508692,-1.016532,0.138965,-0.364674,0.329506,-0.564306,-0.048301,0.27333,0.422811,0.530766,1.267316,-0.657442,0.328295,0.677906,1.64819,1,cluster1
0.662745,-0.082806,0.986782,-0.366413,0.048005,-0.075239,-0.012428,0.059396,0.773724,-0.871643,-0.65416,0.65613,0.304955,-0.005203,-0.091652,0.040268,-0.404052,-0.004576,0.037938,-0.111896,0.104623,-0.117548,0.133557,0.266133,0.25008,0.437648,-0.371084,0.76101,1,cluster1
