0	962
1	160
2	412
3	641
4	221
5	374
6	304
7	304
8	395
9	57
10	90
11	181
12	263
13	233
14	133
15	67
16	91
17	44
18	64
19	30
20	48
21	40
22	72
23	77
24	34
25	238
26	550
27	55
28	34
29	44
30	49
31	52
32	122
33	68
34	71
35	48
36	53
37	261
38	84
39	127
40	98
41	101
42	56
43	180
44	91
45	62
46	39
47	77
48	104
49	154
50	38
51	150
52	125
53	33
54	147
55	146
56	81
57	39
58	47
59	53
60	136
61	168
62	126
63	79
64	46
65	107
66	128
67	44
68	66
69	28
70	34
71	34
72	32
73	29
74	23
75	58
76	34
77	69
78	43
79	108
80	188
81	461
82	60
83	20
84	55
85	123
86	77
87	122
88	143
89	44
90	40
91	68
92	40
93	92
94	62
95	112
96	86
97	39
98	40
99	63
