@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S20

@attribute word_freq_3d numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_receive numeric
@attribute word_freq_people numeric
@attribute word_freq_report numeric
@attribute word_freq_free numeric
@attribute word_freq_business numeric
@attribute word_freq_email numeric
@attribute word_freq_credit numeric
@attribute word_freq_hpl numeric
@attribute word_freq_george numeric
@attribute word_freq_labs numeric
@attribute word_freq_857 numeric
@attribute word_freq_data numeric
@attribute word_freq_415 numeric
@attribute word_freq_85 numeric
@attribute word_freq_pm numeric
@attribute word_freq_direct numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_re numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_; numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0,0,0,0,0,0,0,0,0.32,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,1
0,0.28,0.21,0.07,0,0.21,0.65,0.21,0.14,0.07,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,1028,1
0,0.19,0.19,0.12,0.64,0.38,0.12,0,0.06,0.06,1.03,0.32,0,0,0,0,0,0,0,0,0.06,0.12,0,0.06,0,0,0.01,0.184,2259,1
0,0,0.31,0.63,0.31,0.31,0.31,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,1
0,0,0.31,0.63,0.31,0.31,0.31,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,1
0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1
0,0,0,0,0,0.96,0,0,0.96,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,112,1
0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1
0,0,0.3,0,0.92,0.76,0,0,0,0,0.15,3.53,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.203,1257,1
0,0.32,0.38,0,0.06,0,0.25,0,0,0,0.12,0.06,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.04,0.081,749,1
0,0,0.96,0,0,0.96,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,21,1
0,0.25,0.25,0,0,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,184,1
0,0,0,0,0,0,0,0,0.34,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,1
0,0,0.9,0,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
0,0.35,0,0.35,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,1
0,0,0.42,0,0,0,0,0,1.27,0,0,0.42,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0.063,249,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,461,1
0,0,0.18,0,0,0,0.92,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1
0,0.31,0,0,0.31,0,0,0,0.63,0.31,3.18,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0.496,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
0,0.05,0.15,0.02,0.55,0.1,0.02,0,0,0.02,0.13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0.046,2259,1
0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,34,1
0,0,0,0,0,0,0,0,1.16,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0.196,82,1
0,0.05,0.15,0.02,0.55,0.1,0.02,0,0,0.02,0.13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0.046,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0.196,82,1
0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1
0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
0,0,0.65,0,0,0.65,0,0,0.65,1.3,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1
0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,59,1
0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1
0,0.27,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,89,1
0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,17,1
0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,264,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0,29,1
0,0,0.48,0,0,0,0,0,0.48,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0.244,239,1
0,0,0,0,0,0,0,0,0.48,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,1
0,0,0,0,0,0,0,0,0.41,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,285,1
0,0.92,0,2.45,0,0,1.53,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,226,1
0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,28,1
0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,28,1
0,0,0.18,0,0,0,0.92,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1
0,0,0.26,0.52,0,0.26,0,0,0.26,1.56,0.26,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,339,1
0,0,0,1.81,0.6,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.068,774,1
0,0.36,0.06,0.06,0.06,0.06,0.3,0.06,0,0.72,0.06,0.24,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0,0.01,0.167,442,1
0,0.99,0,0,0,0.99,0.49,0,4.97,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1
