@relation spambase-weka.filters.unsupervised.attribute.RandomProjection-M-N10-R55-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {0,1}

@data

1.662769,-104.768289,-1.278253,-8.168352,1.108513,-8.185672,-101.775305,0.793279,-2.234346,-476.66731,1
1.489564,-177.569849,0.949164,-12.148604,0.484974,-10.870351,-172.633504,0.75171,-1.839438,-1776.363595,1
1.404693,-840.574649,-19.476911,-20.672026,-0.969948,-20.360257,-841.038839,0.621806,0.427817,-3899.133888,1
0.282324,-70.056259,-0.398372,-6.108943,-0.536936,-11.09725,-69.836289,-0.59929,-1.311162,-326.640534,1
0.285788,-70.052795,-0.401836,-6.108943,-0.536936,-11.09725,-69.836289,-0.606218,-1.307698,-326.643998,1
-3.590541,-25.980762,-8.400446,-1.991858,0,-5.196152,-25.980762,0.386247,-0.386247,-91.152638,1
3.879794,-4.440978,5.166708,-4.650556,0,-8.547671,-4.804709,-2.94795,-2.310556,-195.435953,1
-3.613058,-19.052559,-7.49978,-0.987269,0,-4.243524,-19.052559,0.356802,-0.356802,-83.526418,1
3.290897,-780.969585,-11.471372,-17.505838,4.001037,-16.930797,-768.169729,-0.273664,-1.006322,-2165.955516,1
0.746514,-76.650176,1.255737,-5.230793,0.207846,-3.464102,-71.448828,0.994197,-0.554256,-1297.273146,1
0,-9.529744,5.178832,-2.272451,0,-7.260757,-12.055074,0.800207,-3.325538,-39.088923,1
-0.301377,-21.797859,1.454923,-2.793798,0,-1.962414,-17.116126,1.487832,-0.530008,-318.89307,1
1.687017,-104.626261,-0.88681,-7.63488,1.195115,-8.275739,-102.069754,0.86949,-2.504545,-447.312513,1
0,-13.683201,-0.455529,-5.166708,0,-5.201349,-12.124356,-1.558846,-3.117691,-42.8111,1
8.483585,-37.857435,16.343631,-15.139856,0,-2.824975,-35.403119,-7.865243,-0.176669,-350.821695,1
4.399409,-96.253527,-3.666752,-12.837961,1.454923,-10.655577,-96.844157,-0.372391,-0.109119,-423.569561,1
0,-59.336597,-0.786351,-8.0575,0,-6.412052,-48.791871,0.741318,0,-183.801768,1
0.640859,-171.620254,-54.344826,-63.273548,0,-57.19405,-162.743494,3.4208,0,-740.709796,1
-0.315233,-8.980683,3.005108,-5.473281,0,-5.507922,-3.74123,1.103316,-1.596951,-122.158079,1
2.028231,-150.575837,-4.354376,-9.101927,0.554256,-10.816657,-154.613247,2.771281,-3.247595,-324.406188,1
-1.262665,-16.851122,-5.376286,-6.638951,0,-6.638951,-15.588457,2.52533,-1.262665,-31.935553,1
1.683553,-118.474007,1.432406,-4.823761,-0.658179,-5.78505,-111.973621,0.594093,-0.587165,-3912.54689,1
4.392481,-17.793358,-7.011342,-13.5048,0,-8.412571,-21.484358,-2.291503,-1.399497,-49.777408,1
2.783406,-8.828263,3.232007,-3.968128,0,-0.937039,-4.624576,-0.623538,-2.239542,-121.357872,1
0,-38.784082,-8.788426,-12.301025,-2.494153,-12.301025,-38.4446,3.512599,-0.339482,-129.727141,1
1.683553,-118.474007,1.439334,-4.816833,-0.658179,-5.778121,-111.973621,0.594093,-0.587165,-3910.821767,1
0,-38.784082,-8.788426,-12.301025,-2.494153,-12.301025,-38.4446,3.512599,-0.339482,-129.727141,1
0,-24.297209,-0.992465,-4.522385,0,-7.41491,-20.78461,0.637395,0,-76.884003,1
5.158047,-13.894512,-0.550792,-12.695932,0,-6.928203,-19.052559,-4.548365,-0.609682,-49.048215,1
1.456655,-124.640108,2.258594,-8.03152,9.041305,-1.276521,-108.686188,-1.299038,0.330822,-220.237188,1
2.026499,-18.855105,8.279203,-7.458211,-2.026499,-9.502031,-13.267509,3.561096,4.052999,-98.785786,1
4.638432,-17.462536,2.135619,-17.266815,0,-6.770587,-13.804445,-0.980341,-0.609682,-61.849802,1
1.482635,-23.261442,6.945524,-3.032821,0,-3.500475,-13.130677,0.077942,-0.077942,-161.020103,1
0.523079,-0.294449,-2.944486,-3.467566,0,-11.833371,-9.183333,0,-8.365805,-26.500377,1
2.676018,-49.605935,-1.595219,-5.449032,1.177795,-6.306397,-51.961524,-1.177795,-6.209402,-450.634587,1
-0.533472,-13.064859,6.730749,-9.243955,0,-13.678005,-5.958255,3.206026,-0.533472,-37.957893,1
4.337055,-17.959635,-5.662074,-12.266384,0,-7.174154,-21.539784,-2.069801,-1.510348,-42.300145,1
2.793798,-140.154087,0.687624,-14.835015,-0.831384,-7.317915,-127.953521,0.985537,1.539793,-411.168077,1
2.37291,-105.660295,0.507491,-7.032126,0.831384,-6.218062,-101.463536,0.975145,-1.818653,-319.182323,1
1.302502,-210.184365,-0.330822,-10.965614,0,-8.817871,-203.827739,1.416818,-1.555382,-488.301496,1
-4.527581,-52.856994,1.446262,-2.977395,0,-5.662074,-51.783123,2.040356,-2.738372,-391.369004,1
4.511992,-17.434823,-5.765997,-12.020433,0,-6.928203,-21.364847,-2.769549,-1.160474,-40.988982,1
4.477351,-17.538746,-5.696715,-12.020433,0,-6.928203,-21.399488,-2.630985,-1.229756,-40.954341,1
-0.003464,-8.930454,3.330734,-5.409195,0,-5.443836,-3.429461,1.053087,-1.596951,-119.069833,1
0.131636,-70.633032,3.54724,-6.029269,3.602666,-3.072658,-62.277619,0.633931,1.674893,-585.124868,1
-0.852169,-230.324652,3.025893,-8.762445,-0.519615,-15.552084,-221.629757,2.975663,-0.173205,-1336.206184,1
0.614878,-23.122878,6.022341,-6.720357,0.103923,-6.044857,-18.475786,0.748246,0.723997,-768.536924,1
10.600151,-7.274613,21.844625,-16.277813,0,-0.845241,-5.248114,-7.724947,-0.588897,-160.529933,1
5.227329,-339.184046,1.115441,-15.825748,-0.259808,-12.217886,-333.68998,0.051962,-2.139083,-5257.352706,1
0.678964,-68.845555,1.681821,-9.157353,0.796743,-11.367449,-69.153861,0.1351,-1.454923,-1551.500099,1
3.325538,-24.110147,5.213473,-4.76314,3.325538,-1.437602,-10.807997,0,0,-62.37115,1
0.367195,-59.163391,4.059927,-11.892261,3.793191,-0.512687,-50.025091,0.429549,1.073872,-308.003667,1
0.729193,-76.632856,1.23322,-5.218669,0.207846,-3.469298,-71.448828,0.994197,-0.554256,-1298.98268,1
0.689356,-29.78781,-1.931237,-9.853637,0,-5.488869,-26.112398,5.05066,-0.342946,-114.711993,1
0.367195,-59.184176,4.106692,-11.279115,3.810512,-0.523079,-50.633041,0.417424,1.072139,-302.797122,1
1.870615,-56.409431,6.595649,-5.334716,0,-1.576166,-48.202974,0.689356,0,-182.021219,1
1.375248,-108.888838,7.078892,-7.653933,0,-4.863599,-95.179656,1.596951,1.269593,-252.127708,1
4.382089,-22.620584,11.220225,-8.490513,0,-1.92604,1.472243,0,0,-95.172728,1
1.558846,-107.475485,1.704338,-6.368751,0.779423,-4.809905,-101.740664,1.820385,-1.576166,-343.955846,1
1.340607,-210.73689,0.332554,-11.010647,0,-8.100802,-203.030996,1.273057,-1.569238,-487.324619,1
0.576773,-112.271533,-13.849478,-14.871388,1.02191,-16.915208,-114.315353,0.445137,-2.488957,-416.986036,1
0.722265,-22.703722,14.031344,-5.081837,-1.229756,-12.096643,-14.641025,1.28345,0.249415,-113.64505,1
2.288039,-12.501943,-0.88681,-4.091104,0,-0.784619,-10.771624,-3.084782,-0.916255,-128.220257,1
1.260933,-29.025707,3.580149,-3.115959,1.177795,-2.544383,-21.924299,0.083138,-2.355589,-168.561453,1
0.34641,-63.096879,8.339825,-2.793798,0.415692,-4.266041,-52.669933,0.550792,-0.310037,-317.029384,1
