@relation 'spambase-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.05 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.348word_freq_857-0.348word_freq_415-0.32word_freq_direct-0.317word_freq_technology-0.312word_freq_telnet... numeric
@attribute class {0,1}

@data

0.73167,1
1.184956,1
1.467435,1
0.80526,1
0.806191,1
0.49262,1
1.025721,1
0.504395,1
1.265801,1
0.841138,1
0.183055,1
0.639191,1
0.693729,1
1.052856,1
1.281213,1
0.352049,1
0.699741,1
0.834228,1
0.806895,1
-0.407241,1
0.0089,1
0.892619,1
0.500458,1
0.662745,1
0.303313,1
0.892545,1
0.303313,1
1.023112,1
0.358265,1
1.104119,1
0.870437,1
0.722965,1
0.89063,1
0.813589,1
-1.13719,1
0.751992,1
0.48684,1
1.076853,1
0.669161,1
0.806362,1
1.276609,1
0.527375,1
0.519319,1
0.809779,1
0.987071,1
1.209286,1
1.157736,1
1.637891,1
1.709717,1
1.183079,1
0.852142,1
1.749332,1
0.838493,1
0.821369,1
1.718304,1
0.680964,1
0.842418,1
0.970982,1
0.739106,1
0.83448,1
0.476964,1
0.942654,1
0.963277,1
0.856232,1
0.915138,1
1.03841,1
0.425551,1
0.999728,1
0.955387,1
0.365721,1
2.4897,1
0.675695,1
0.753905,1
0.690751,1
1.071596,1
1.153615,1
0.760288,1
1.257949,1
0.935563,1
0.856569,1
0.767386,1
0.651911,1
1.043879,1
1.160994,1
0.259632,1
0.612837,1
0.933406,1
0.776848,1
0.733016,1
-4.950309,1
1.432755,1
1.724914,1
1.680765,1
1.680501,1
0.861143,1
0.78709,1
0.753916,1
0.581023,1
0.359663,1
1.103297,1
1.150966,1
0.630075,1
-0.24086,1
0.630075,1
-0.24086,1
0.630075,1
-0.24086,1
0.491219,1
-0.24086,1
1.012188,1
0.869987,1
0.521471,1
0.748034,1
0.334305,1
1.12194,1
0.65427,1
0.703985,1
0.708314,1
2.617667,1
1.377752,1
0.703985,1
0.708314,1
1.758152,1
0.678275,1
0.675762,1
1.292803,1
0.832294,1
0.863184,1
1.198189,1
1.417098,1
0.833849,1
1.000434,1
0.691922,1
0.940774,1
0.718911,1
0.567474,1
0.567474,1
1.385111,1
0.191359,1
0.573404,1
1.385111,1
0.898108,1
1.758152,1
0.898108,1
1.127563,1
0.719429,1
1.385111,1
0.679689,1
0.889029,1
1.656738,1
1.143653,1
1.398212,1
1.032006,1
0.599441,1
0.694095,1
1.224656,1
1.562787,1
0.785123,1
0.727181,1
0.621591,1
0.56507,1
0.861708,1
0.919713,1
0.663364,1
0.861708,1
1.130636,1
-0.228397,1
0.677929,1
0.614471,1
0.942344,1
0.501821,1
0.865203,1
0.592877,1
0.616591,1
1.380799,1
1.245184,1
1.442322,1
0.962432,1
0.763996,1
1.245239,1
1.237511,1
1.192379,1
0.718289,1
0.989222,1
0.452955,1
0.440612,1
0.652692,1
1.775209,1
1.407031,1
0.863943,1
1.486046,1
0.923425,1
0.801956,1
0.647704,1
0.865203,1
0.572797,1
1.431964,1
0.865914,1
1.423442,1
0.79815,1
1.412498,1
0.913738,1
0.915552,1
1.232115,1
0.619755,1
0.691412,1
0.588632,1
0.776593,1
0.795271,1
1.427048,1
