@relation 'spambase-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.4 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.348word_freq_857-0.348word_freq_415-0.32word_freq_direct-0.317word_freq_technology-0.312word_freq_telnet... numeric
@attribute 0.272word_freq_your+0.252capital_run_length_longest+0.248word_freq_000+0.236char_freq_$+0.235word_freq_order... numeric
@attribute -0.445capital_run_length_longest-0.372capital_run_length_total-0.292char_freq_(-0.285capital_run_length_average+0.248word_freq_you... numeric
@attribute 0.403word_freq_original+0.394word_freq_1999+0.304word_freq_pm-0.295word_freq_font+0.246word_freq_cs... numeric
@attribute '0.534word_freq_meeting+0.332word_freq_will+0.31 word_freq_lab+0.27 word_freq_our-0.256word_freq_font...' numeric
@attribute 0.303word_freq_font+0.299word_freq_business+0.299char_freq_;-0.29word_freq_addresses+0.274word_freq_credit... numeric
@attribute -0.43word_freq_font-0.406char_freq_;+0.284capital_run_length_average-0.254word_freq_000-0.247word_freq_meeting... numeric
@attribute -0.323word_freq_edu-0.305word_freq_you-0.257word_freq_cs-0.239char_freq_!+0.237word_freq_internet... numeric
@attribute '0.368word_freq_edu+0.35 word_freq_cs-0.291word_freq_make+0.28 word_freq_our+0.258word_freq_remove...' numeric
@attribute 0.359word_freq_cs+0.353word_freq_edu-0.289word_freq_re-0.265word_freq_pm-0.262char_freq_!... numeric
@attribute -0.326word_freq_email-0.262word_freq_will-0.258word_freq_all+0.248word_freq_george-0.23word_freq_hpl... numeric
@attribute class {0,1}

@data

0.73167,-0.043021,0.580599,-0.251116,-0.174817,-0.569698,-0.050588,-0.071787,0.415519,-0.809172,-1.200508,1
1.184956,2.067625,-0.036031,0.430412,-0.327583,-0.826598,-0.49013,-0.621614,-0.883583,0.35137,0.020529,1
1.467435,5.023208,-3.277235,0.994957,0.641234,-2.784381,-1.84427,2.097591,1.982534,0.259445,-0.377529,1
0.80526,0.427457,0.583043,-0.008241,-0.077455,0.547803,0.404856,0.45936,0.160836,0.260425,0.341028,1
0.806191,0.426701,0.585091,-0.008166,-0.077646,0.547694,0.403736,0.46107,0.160584,0.26196,0.340605,1
0.49262,-0.48951,0.373364,-0.443378,0.407751,0.671938,0.579316,1.342453,1.337345,0.345828,1.281746,1
1.025721,1.020638,1.737424,0.014956,0.87145,1.448537,0.024396,0.008219,0.090204,0.033352,-0.622572,1
0.504395,-0.487483,0.41848,-0.432269,0.410951,0.687679,0.560302,1.373803,1.353209,0.361711,1.301671,1
1.265801,3.640849,-1.491548,0.119221,1.375369,3.1055,2.036784,1.275868,-0.465424,1.497368,0.41487,1
0.841138,0.400467,-0.029865,-0.29594,-0.185975,-0.874246,-0.326066,-0.026017,0.170904,-0.071366,-0.178011,1
0.183055,1.702605,1.677627,0.619892,-0.606908,1.593611,0.24051,0.824825,0.379124,-0.242481,-0.804783,1
0.639191,-0.464192,0.472501,-0.444884,-0.315684,-0.19461,0.142448,0.032341,0.268048,-0.183874,0.134533,1
0.693729,-0.057556,0.576981,-0.23303,-0.2118,-0.50391,-0.017247,-0.032558,0.407343,-0.770798,-1.125205,1
1.052856,1.032881,1.491406,0.27128,-0.08815,1.002556,0.110289,0.392853,0.049488,0.27506,0.197806,1
1.281213,1.661085,1.723951,-0.112927,-0.431554,0.309115,-0.055408,-0.607822,1.087823,-1.933751,-0.284047,1
0.352049,0.280416,0.158046,0.650121,0.183955,1.143946,0.161943,-0.040621,0.675403,-1.068761,0.148417,1
0.699741,-0.369175,0.893517,-0.450581,-0.076775,0.201904,0.33469,-0.195894,0.191328,-0.257275,0.076267,1
0.834228,0.530784,-0.511708,-0.544554,-0.544399,-0.768336,0.272363,-0.419168,0.074912,-0.381645,0.789112,1
0.806895,0.404966,0.841718,0.012527,-0.19358,-0.799294,-0.334571,-0.415304,0.459098,-0.521815,0.248606,1
-0.407241,4.037056,0.19416,1.191489,-0.374211,-2.58933,-2.008481,1.554693,2.397528,-0.873289,-1.149497,1
0.0089,-1.225542,-0.700585,-0.698263,-0.273635,-0.390005,0.831228,-0.188429,0.183718,-0.342376,0.254618,1
0.892619,1.06137,-1.04028,-0.596675,0.261162,0.122615,0.397995,0.156963,-0.384584,0.594588,0.037094,1
0.500458,-0.449399,0.345647,-1.558282,0.264908,0.782107,-0.338406,-0.403716,1.691958,-1.565302,0.561306,1
0.662745,-0.082806,0.986782,-0.366413,0.048005,-0.075239,-0.012428,0.059396,0.773724,-0.871643,-0.65416,1
0.303313,-1.295847,-0.269251,-0.434651,-0.44703,-0.537287,0.552268,-0.169897,0.025459,-0.388444,0.64233,1
0.892545,1.060981,-1.039631,-0.596482,0.261093,0.122653,0.397882,0.157027,-0.384373,0.594401,0.037052,1
0.303313,-1.295847,-0.269251,-0.434651,-0.44703,-0.537287,0.552268,-0.169897,0.025459,-0.388444,0.64233,1
1.023112,0.631767,1.680432,-0.040589,-1.236697,0.433354,0.406492,-0.953319,-0.759344,-0.625132,-0.49522,1
0.358265,-0.949788,0.183239,-0.862973,-0.569756,-0.043939,0.791348,-0.0265,0.597902,-0.918709,0.25701,1
1.104119,2.530088,1.147474,-0.423647,0.745505,4.882213,2.70338,1.844276,0.528061,1.598405,1.596083,1
0.870437,0.170989,1.270983,0.289947,-0.014637,0.664497,0.45868,-1.033081,-1.277636,0.249207,0.104552,1
0.722965,0.269525,0.356615,-0.638587,-0.211549,-0.679708,0.370535,-1.32395,0.949381,-2.526353,-1.094624,1
0.89063,0.289398,1.439479,-0.323189,0.384388,0.179656,-0.176427,-0.545834,0.264125,-0.300686,-0.005083,1
0.813589,0.799896,1.075997,0.826236,-1.124355,-1.736298,-1.084866,0.830718,1.183975,-1.442002,-2.705167,1
-1.13719,0.514269,0.175811,1.664779,0.109177,2.201799,0.549683,1.134945,-0.801785,0.79287,-0.34082,1
0.751992,0.155404,0.635905,-0.117624,-0.324666,-0.820424,0.053524,-1.736069,0.172949,-1.7801,-1.110996,1
0.48684,-0.442807,0.297508,-1.579899,0.234464,0.822045,-0.380935,-0.448167,1.687951,-1.594451,0.576318,1
1.076853,1.276815,1.154235,-0.224374,0.502735,0.575781,0.039544,-0.173288,0.825343,-0.662497,0.460166,1
0.669161,-0.154022,0.557948,-0.366357,0.029379,-0.388865,0.031503,-0.194093,0.361446,-0.748591,-0.961455,1
0.806362,0.291016,0.448934,-0.242166,0.018875,-0.603216,0.072138,-0.654818,0.48342,-1.328354,-1.287188,1
1.276609,1.988871,0.719417,1.376599,-0.90212,-0.937397,-0.790459,0.592253,-0.149068,1.348188,2.541183,1
0.527375,-0.480099,0.481288,-1.49676,0.320356,0.689547,-0.269468,-0.29752,1.696402,-1.492763,0.53637,1
0.519319,-0.472908,0.44527,-1.513049,0.303228,0.715709,-0.291807,-0.32723,1.69468,-1.512786,0.544367,1
0.809779,0.415778,0.860917,0.018425,-0.121219,-0.786335,-0.359007,-0.427336,0.415755,-0.481486,0.190471,1
0.987071,1.188459,0.927264,-0.322915,0.219899,2.677951,1.333071,1.51442,0.747398,0.779945,1.21792,1
1.209286,2.34795,-0.081609,0.657914,0.096737,0.168996,0.264758,0.142131,-0.034572,0.1863,0.307177,1
1.157736,1.565689,0.931921,0.239393,0.092834,-0.362088,-0.73784,-0.102797,0.286814,0.24464,1.015279,1
1.637891,3.767257,2.235666,0.969569,0.274756,1.394932,-0.284317,-0.36476,-0.450406,-0.011237,-0.38212,1
1.709717,4.398286,-1.980384,0.029791,-0.040347,-1.317252,-0.154485,-0.847685,-2.607075,2.219987,1.706511,1
1.183079,1.961339,0.117271,0.618998,-0.515129,-0.704362,-0.65378,-0.294826,-1.017745,0.733312,0.064938,1
0.852142,0.063406,1.57086,-0.470326,0.990159,0.55567,-0.021616,-0.198679,0.130447,-0.023443,-0.606299,1
1.749332,4.257919,0.742549,0.997501,-0.603538,0.130708,-0.540983,1.423996,0.884498,0.757918,1.571998,1
0.838493,0.388987,-0.028069,-0.297787,-0.183924,-0.868322,-0.323268,-0.021363,0.174377,-0.072495,-0.186302,1
0.821369,0.633932,0.138458,0.128246,-0.641497,-1.312169,-0.366374,-0.472905,-0.617274,0.269288,0.754651,1
1.718304,4.150808,0.734148,0.977115,-0.667485,0.220214,-0.489382,1.523004,0.846686,0.892306,1.765045,1
0.680964,-0.495213,0.730332,-0.478314,-0.623627,0.099696,0.512033,-0.345759,0.057213,-0.603116,0.202887,1
