@relation 'spambase-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.3 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.348word_freq_857-0.348word_freq_415-0.32word_freq_direct-0.317word_freq_technology-0.312word_freq_telnet... numeric
@attribute 0.272word_freq_your+0.252capital_run_length_longest+0.248word_freq_000+0.236char_freq_$+0.235word_freq_order... numeric
@attribute -0.445capital_run_length_longest-0.372capital_run_length_total-0.292char_freq_(-0.285capital_run_length_average+0.248word_freq_you... numeric
@attribute 0.403word_freq_original+0.394word_freq_1999+0.304word_freq_pm-0.295word_freq_font+0.246word_freq_cs... numeric
@attribute '0.534word_freq_meeting+0.332word_freq_will+0.31 word_freq_lab+0.27 word_freq_our-0.256word_freq_font...' numeric
@attribute 0.303word_freq_font+0.299word_freq_business+0.299char_freq_;-0.29word_freq_addresses+0.274word_freq_credit... numeric
@attribute -0.43word_freq_font-0.406char_freq_;+0.284capital_run_length_average-0.254word_freq_000-0.247word_freq_meeting... numeric
@attribute class {0,1}

@data

0.73167,-0.043021,0.580599,-0.251116,-0.174817,-0.569698,-0.050588,1
1.184956,2.067625,-0.036031,0.430412,-0.327583,-0.826598,-0.49013,1
1.467435,5.023208,-3.277235,0.994957,0.641234,-2.784381,-1.84427,1
0.80526,0.427457,0.583043,-0.008241,-0.077455,0.547803,0.404856,1
0.806191,0.426701,0.585091,-0.008166,-0.077646,0.547694,0.403736,1
0.49262,-0.48951,0.373364,-0.443378,0.407751,0.671938,0.579316,1
1.025721,1.020638,1.737424,0.014956,0.87145,1.448537,0.024396,1
0.504395,-0.487483,0.41848,-0.432269,0.410951,0.687679,0.560302,1
1.265801,3.640849,-1.491548,0.119221,1.375369,3.1055,2.036784,1
0.841138,0.400467,-0.029865,-0.29594,-0.185975,-0.874246,-0.326066,1
0.183055,1.702605,1.677627,0.619892,-0.606908,1.593611,0.24051,1
0.639191,-0.464192,0.472501,-0.444884,-0.315684,-0.19461,0.142448,1
0.693729,-0.057556,0.576981,-0.23303,-0.2118,-0.50391,-0.017247,1
1.052856,1.032881,1.491406,0.27128,-0.08815,1.002556,0.110289,1
1.281213,1.661085,1.723951,-0.112927,-0.431554,0.309115,-0.055408,1
0.352049,0.280416,0.158046,0.650121,0.183955,1.143946,0.161943,1
0.699741,-0.369175,0.893517,-0.450581,-0.076775,0.201904,0.33469,1
0.834228,0.530784,-0.511708,-0.544554,-0.544399,-0.768336,0.272363,1
0.806895,0.404966,0.841718,0.012527,-0.19358,-0.799294,-0.334571,1
-0.407241,4.037056,0.19416,1.191489,-0.374211,-2.58933,-2.008481,1
0.0089,-1.225542,-0.700585,-0.698263,-0.273635,-0.390005,0.831228,1
0.892619,1.06137,-1.04028,-0.596675,0.261162,0.122615,0.397995,1
0.500458,-0.449399,0.345647,-1.558282,0.264908,0.782107,-0.338406,1
0.662745,-0.082806,0.986782,-0.366413,0.048005,-0.075239,-0.012428,1
0.303313,-1.295847,-0.269251,-0.434651,-0.44703,-0.537287,0.552268,1
0.892545,1.060981,-1.039631,-0.596482,0.261093,0.122653,0.397882,1
0.303313,-1.295847,-0.269251,-0.434651,-0.44703,-0.537287,0.552268,1
