@relation 'spambase-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.5 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.348word_freq_857-0.348word_freq_415-0.32word_freq_direct-0.317word_freq_technology-0.312word_freq_telnet... numeric
@attribute 0.272word_freq_your+0.252capital_run_length_longest+0.248word_freq_000+0.236char_freq_$+0.235word_freq_order... numeric
@attribute -0.445capital_run_length_longest-0.372capital_run_length_total-0.292char_freq_(-0.285capital_run_length_average+0.248word_freq_you... numeric
@attribute 0.403word_freq_original+0.394word_freq_1999+0.304word_freq_pm-0.295word_freq_font+0.246word_freq_cs... numeric
@attribute '0.534word_freq_meeting+0.332word_freq_will+0.31 word_freq_lab+0.27 word_freq_our-0.256word_freq_font...' numeric
@attribute 0.303word_freq_font+0.299word_freq_business+0.299char_freq_;-0.29word_freq_addresses+0.274word_freq_credit... numeric
@attribute -0.43word_freq_font-0.406char_freq_;+0.284capital_run_length_average-0.254word_freq_000-0.247word_freq_meeting... numeric
@attribute -0.323word_freq_edu-0.305word_freq_you-0.257word_freq_cs-0.239char_freq_!+0.237word_freq_internet... numeric
@attribute '0.368word_freq_edu+0.35 word_freq_cs-0.291word_freq_make+0.28 word_freq_our+0.258word_freq_remove...' numeric
@attribute 0.359word_freq_cs+0.353word_freq_edu-0.289word_freq_re-0.265word_freq_pm-0.262char_freq_!... numeric
@attribute -0.326word_freq_email-0.262word_freq_will-0.258word_freq_all+0.248word_freq_george-0.23word_freq_hpl... numeric
@attribute 0.355word_freq_money+0.305word_freq_free+0.262word_freq_make-0.257word_freq_re-0.24char_freq_!... numeric
@attribute 0.334word_freq_parts-0.314word_freq_address-0.27word_freq_mail+0.259word_freq_hp-0.254word_freq_will... numeric
@attribute -0.529word_freq_data-0.345char_freq_[+0.246word_freq_people+0.219word_freq_hp+0.198word_freq_hpl... numeric
@attribute 0.399word_freq_table-0.361word_freq_project+0.272word_freq_re+0.223word_freq_order-0.22word_freq_will... numeric
@attribute -0.428word_freq_address+0.373word_freq_george-0.307word_freq_mail-0.297word_freq_report+0.255word_freq_conference... numeric
@attribute class {0,1}

@data

0.73167,-0.043021,0.580599,-0.251116,-0.174817,-0.569698,-0.050588,-0.071787,0.415519,-0.809172,-1.200508,0.181877,-0.130318,-0.192555,0.52459,0.02407,1
1.184956,2.067625,-0.036031,0.430412,-0.327583,-0.826598,-0.49013,-0.621614,-0.883583,0.35137,0.020529,0.087005,-0.038034,0.460881,-0.406007,-0.716954,1
1.467435,5.023208,-3.277235,0.994957,0.641234,-2.784381,-1.84427,2.097591,1.982534,0.259445,-0.377529,0.333593,-1.213546,-0.460474,0.741003,0.585278,1
0.80526,0.427457,0.583043,-0.008241,-0.077455,0.547803,0.404856,0.45936,0.160836,0.260425,0.341028,-0.160887,-0.268693,0.29843,-0.136409,-0.686484,1
0.806191,0.426701,0.585091,-0.008166,-0.077646,0.547694,0.403736,0.46107,0.160584,0.26196,0.340605,-0.160299,-0.26894,0.299188,-0.135111,-0.686731,1
0.49262,-0.48951,0.373364,-0.443378,0.407751,0.671938,0.579316,1.342453,1.337345,0.345828,1.281746,-0.922154,0.349076,0.215678,-0.024741,-0.074383,1
1.025721,1.020638,1.737424,0.014956,0.87145,1.448537,0.024396,0.008219,0.090204,0.033352,-0.622572,0.707384,-0.562362,0.139056,-0.776665,-0.711555,1
0.504395,-0.487483,0.41848,-0.432269,0.410951,0.687679,0.560302,1.373803,1.353209,0.361711,1.301671,-0.937753,0.357926,0.225361,-0.011941,-0.076574,1
1.265801,3.640849,-1.491548,0.119221,1.375369,3.1055,2.036784,1.275868,-0.465424,1.497368,0.41487,0.222278,-0.615625,-1.071227,1.288742,1.02294,1
0.841138,0.400467,-0.029865,-0.29594,-0.185975,-0.874246,-0.326066,-0.026017,0.170904,-0.071366,-0.178011,-0.3831,0.054923,-0.261171,-0.267024,0.100718,1
0.183055,1.702605,1.677627,0.619892,-0.606908,1.593611,0.24051,0.824825,0.379124,-0.242481,-0.804783,0.98686,-1.3428,0.319238,-0.17049,-1.493789,1
0.639191,-0.464192,0.472501,-0.444884,-0.315684,-0.19461,0.142448,0.032341,0.268048,-0.183874,0.134533,-0.240258,0.092402,-0.176798,-0.209541,0.015668,1
0.693729,-0.057556,0.576981,-0.23303,-0.2118,-0.50391,-0.017247,-0.032558,0.407343,-0.770798,-1.125205,0.300051,-0.184733,-0.147763,0.415539,-0.098572,1
1.052856,1.032881,1.491406,0.27128,-0.08815,1.002556,0.110289,0.392853,0.049488,0.27506,0.197806,0.618379,-0.124661,1.057658,-1.22869,-1.708427,1
1.281213,1.661085,1.723951,-0.112927,-0.431554,0.309115,-0.055408,-0.607822,1.087823,-1.933751,-0.284047,0.991271,0.945956,0.314281,0.060822,1.160209,1
0.352049,0.280416,0.158046,0.650121,0.183955,1.143946,0.161943,-0.040621,0.675403,-1.068761,0.148417,0.889065,0.044663,0.84476,-0.243522,-0.372828,1
0.699741,-0.369175,0.893517,-0.450581,-0.076775,0.201904,0.33469,-0.195894,0.191328,-0.257275,0.076267,-0.023737,0.012718,-0.310318,0.14881,-0.166771,1
0.834228,0.530784,-0.511708,-0.544554,-0.544399,-0.768336,0.272363,-0.419168,0.074912,-0.381645,0.789112,-0.693686,0.214739,0.298566,-0.104876,0.354508,1
0.806895,0.404966,0.841718,0.012527,-0.19358,-0.799294,-0.334571,-0.415304,0.459098,-0.521815,0.248606,-0.380709,0.606601,0.35425,-0.553821,-0.724823,1
-0.407241,4.037056,0.19416,1.191489,-0.374211,-2.58933,-2.008481,1.554693,2.397528,-0.873289,-1.149497,1.81133,-0.675793,-0.521199,0.574435,0.237991,1
