@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S27

@attribute word_freq_make numeric
@attribute word_freq_address numeric
@attribute word_freq_our numeric
@attribute word_freq_internet numeric
@attribute word_freq_report numeric
@attribute word_freq_free numeric
@attribute word_freq_email numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_george numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_857 numeric
@attribute word_freq_data numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_pm numeric
@attribute word_freq_direct numeric
@attribute word_freq_cs numeric
@attribute word_freq_project numeric
@attribute word_freq_edu numeric
@attribute word_freq_table numeric
@attribute char_freq_( numeric
@attribute char_freq_! numeric
@attribute class {0,1}

@data

0,0.64,0.32,0,0,0.32,1.29,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,1
0.21,0.28,0.14,0.07,0.21,0.14,0.28,0,1.59,0.43,0.43,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.132,0.372,1
0.06,0,1.23,0.12,0,0.06,1.03,0.32,0.51,1.16,0.06,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.06,0,0.143,0.276,1
0,0,0.63,0.63,0,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0.137,1
0,0,0.63,0.63,0,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0.135,1
0,0,1.85,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,1
0,0,1.92,0,0,0.96,0.32,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0.164,1
0,0,1.88,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,1
0.15,0,0.61,0,0,0,0.15,3.53,2,0,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.271,0.181,1
0.06,0.12,0.19,0,0,0,0.12,0.06,0.71,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.03,0.244,1
0,0,0,0,0,0,0.96,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0.462,1
0,0,0.38,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.663,1
0,0.69,0.34,0,0,0.34,1.39,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.786,1
0,0,0.9,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.71,0.35,0,5.35,0,0,2.85,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0.357,1
0,0.42,1.27,0,0,1.27,0,0.42,1.27,0,0.42,0,0,0,0,0,0,0,0,1.27,0,0,0.42,0,0,0,0,0.063,0.572,1
0,0,0.94,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,1
0,0,0,0,0,0,0,0,2.11,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,1
0,0,1.11,0,0,0,0.37,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.455,1
0,0.63,1.59,0,0,0.63,3.18,0,1.91,0.31,0.63,0,0,0.31,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0.275,0.055,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0.729,1
0.05,0.07,0.76,0.02,0,0,0.13,0.1,1.57,0.05,0,0,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0,0,0.101,0.25,1
